"データID","FRPリスト名","型式確認","品番","図番"
"zcrm_7345477000010940103","FRPタンク（槽のみ）　縦型","CRK50-02B","026094000","CK01-No01A"
"zcrm_7345477000025727238","CRKUF-02C-5.25S","CRKUF-02C-5.25S","021990000","CKU13-No25B"
"zcrm_7345477000025727304","CRKUFC-02C-5.25S","CRKUFC-02C-5.25S","022149000","CKU14-No25B"
"zcrm_7345477000025727424","CRKUFCT-06D-5.25S","CRKUFCT-06D-5.25S","022346000","CKU16-No23B"
"zcrm_7345477000025727370","CRKUFT-06D-5.25S","CRKUFT-06D-5.25S","022253000","CKU15-No23B"
"zcrm_7345477000025677886","CRKUR-02C-5.15S","CRKUR-02C-5.15S","021265000","CKU03-No01C"
"zcrm_7345477000025677974","CRKURC-02C-5.15S","CRKURC-02C-5.15S","021386000","CKU04-No01C"
"zcrm_7345477000025727151","CRKURCT-04C-5.15S","CRKURCT-04C-5.15S","021732000","CKU06-No01C"
"zcrm_7345477000025727063","CRKURT-04C-5.15S","CRKURT-04C-5.15S","021581000","CKU05-No01C"
"zcrm_7345477000025677710","CRKUSR-02B-5.15S","CRKUSR-02B-5.15S","020889000","CKU01-No01B"
"zcrm_7345477000025677798","CRKUSRC-02B-5.15S","CRKUSRC-02B-5.15S","020997000","CKU02-No01C"
"zcrm_7345477000010940114","FRPタンク（槽のみ）　縦型","CRK50-02C","026095000","CK01-No13A"
"zcrm_7345477000025727239","CRKUF-04C-5.25S","CRKUF-04C-5.25S","021991000","CKU13-No26B"
"zcrm_7345477000025727305","CRKUFC-04C-5.25S","CRKUFC-04C-5.25S","022150000","CKU14-No26B"
"zcrm_7345477000025727425","CRKUFCT-07D-5.25S","CRKUFCT-07D-5.25S","022347000","CKU16-No24B"
"zcrm_7345477000025727371","CRKUFT-07D-5.25S","CRKUFT-07D-5.25S","022254000","CKU15-No24B"
"zcrm_7345477000025677887","CRKUR-04C-5.15S","CRKUR-04C-5.15S","021266000","CKU03-No02C"
"zcrm_7345477000025677975","CRKURC-04C-5.15S","CRKURC-04C-5.15S","021387000","CKU04-No02C"
"zcrm_7345477000025727152","CRKURCT-06C-5.15S","CRKURCT-06C-5.15S","021733000","CKU06-No02C"
"zcrm_7345477000025727064","CRKURT-06C-5.15S","CRKURT-06C-5.15S","021582000","CKU05-No02C"
"zcrm_7345477000025677711","CRKUSR-04B-5.15S","CRKUSR-04B-5.15S","020890000","CKU01-No02B"
"zcrm_7345477000025677799","CRKUSRC-04B-5.15S","CRKUSRC-04B-5.15S","020998000","CKU02-No02C"
"zcrm_7345477000010940104","FRPタンク（槽のみ）　縦型","CRK50-04B","026096000","CK01-No02A"
"zcrm_7345477000025727240","CRKUF-06C-5.25S","CRKUF-06C-5.25S","021992000","CKU13-No27B"
"zcrm_7345477000025727306","CRKUFC-06C-5.25S","CRKUFC-06C-5.25S","022151000","CKU14-No27B"
"zcrm_7345477000025727426","CRKUFCT-10D-5.25S","CRKUFCT-10D-5.25S","022348000","CKU16-No25B"
"zcrm_7345477000025727372","CRKUFT-10D-5.25S","CRKUFT-10D-5.25S","022255000","CKU15-No25B"
"zcrm_7345477000025677888","CRKUR-06C-5.15S","CRKUR-06C-5.15S","021267000","CKU03-No03C"
"zcrm_7345477000025677976","CRKURC-06C-5.15S","CRKURC-06C-5.15S","021388000","CKU04-No03C"
"zcrm_7345477000025727153","CRKURCT-07C-5.15S","CRKURCT-07C-5.15S","021734000","CKU06-No03C"
"zcrm_7345477000025727065","CRKURT-07C-5.15S","CRKURT-07C-5.15S","021590000","CKU05-No03C"
"zcrm_7345477000025677712","CRKUSR-06B-5.15S","CRKUSR-06B-5.15S","020891000","CKU01-No03B"
"zcrm_7345477000025677800","CRKUSRC-06B-5.15S","CRKUSRC-06B-5.15S","020999000","CKU02-No03C"
"zcrm_7345477000010940115","FRPタンク（槽のみ）　縦型","CRK50-04C","026097000","CK01-No14A"
"zcrm_7345477000025727241","CRKUF-07C-5.25S","CRKUF-07C-5.25S","021993000","CKU13-No28B"
"zcrm_7345477000025727307","CRKUFC-07C-5.25S","CRKUFC-07C-5.25S","022152000","CKU14-No28B"
"zcrm_7345477000025727427","CRKUFCT-12D-5.25S","CRKUFCT-12D-5.25S","022349000","CKU16-No26B"
"zcrm_7345477000025727373","CRKUFT-12D-5.25S","CRKUFT-12D-5.25S","022256000","CKU15-No26B"
"zcrm_7345477000025677889","CRKUR-07C-5.15S","CRKUR-07C-5.15S","021268000","CKU03-No04C"
"zcrm_7345477000025677977","CRKURC-07C-5.15S","CRKURC-07C-5.15S","021392000","CKU04-No04C"
"zcrm_7345477000025727154","CRKURCT-10C-5.15S","CRKURCT-10C-5.15S","021735000","CKU06-No04C"
"zcrm_7345477000025727066","CRKURT-10C-5.15S","CRKURT-10C-5.15S","021591000","CKU05-No04C"
"zcrm_7345477000025677713","CRKUSR-07B-5.15S","CRKUSR-07B-5.15S","020893000","CKU01-No04B"
"zcrm_7345477000025677801","CRKUSRC-07B-5.15S","CRKUSRC-07B-5.15S","021001000","CKU02-No04C"
"zcrm_7345477000010940105","FRPタンク（槽のみ）　縦型","CRK50-06B","026098000","CK01-No03A"
"zcrm_7345477000025727242","CRKUF-10C-5.25S","CRKUF-10C-5.25S","021994000","CKU13-No29B"
"zcrm_7345477000025727308","CRKUFC-10C-5.25S","CRKUFC-10C-5.25S","022153000","CKU14-No29B"
"zcrm_7345477000025727428","CRKUFCT-15D-5.25S","CRKUFCT-15D-5.25S","022350000","CKU16-No27B"
"zcrm_7345477000025727374","CRKUFT-15D-5.25S","CRKUFT-15D-5.25S","022257000","CKU15-No27B"
"zcrm_7345477000025677890","CRKUR-10C-5.15S","CRKUR-10C-5.15S","021269000","CKU03-No05C"
"zcrm_7345477000025677978","CRKURC-10C-5.15S","CRKURC-10C-5.15S","021401000","CKU04-No05C"
"zcrm_7345477000025727155","CRKURCT-12C-5.15S","CRKURCT-12C-5.15S","021736000","CKU06-No05C"
"zcrm_7345477000025727067","CRKURT-12C-5.15S","CRKURT-12C-5.15S","021592000","CKU05-No05C"
